name,value,year,lastValue,rank
Chardonnay,835,2018,828.6,2
Chardonnay,828.6,2017.9,822.2,2
Chardonnay,822.2,2017.8,815.8,2
Chardonnay,815.8,2017.7,809.4,2
Chardonnay,809.4,2017.6,803,2
Chardonnay,803,2017.5,796.6,2
Chardonnay,796.6,2017.4,790.2,2
Chardonnay,790.2,2017.3,783.8,2
Chardonnay,783.8,2017.2,777.4,2
Chardonnay,777.4,2017.1,771,2
Chardonnay,771,2017,745.7,2
Chardonnay,745.7,2016.9,720.4,2
Chardonnay,720.4,2016.8,695.1,2
Chardonnay,695.1,2016.7,669.8,2
Chardonnay,669.8,2016.6,644.5,2
Chardonnay,644.5,2016.5,619.2,2
Chardonnay,619.2,2016.4,593.9,2
Chardonnay,593.9,2016.3,568.6,2
Chardonnay,568.6,2016.2,543.3,2
Chardonnay,543.3,2016.1,518,1
Chardonnay,518,2016,501.54,1
Chardonnay,501.54,2015.9,485.08,1
Chardonnay,485.08,2015.8,468.62,1
Chardonnay,468.62,2015.7,452.16,1
Chardonnay,452.16,2015.6,435.7,1
Chardonnay,435.7,2015.5,419.24,1
Chardonnay,419.24,2015.4,402.78,1
Chardonnay,402.78,2015.3,386.32,1
Chardonnay,386.32,2015.2,369.86,1
Chardonnay,369.86,2015.1,353.37,1
Chardonnay,353.37,2015,352.74,1
Chardonnay,352.74,2014.9,352.11,1
Chardonnay,352.11,2014.8,351.48,1
Chardonnay,351.48,2014.7,350.85,1
Chardonnay,350.85,2014.6,350.22,1
Chardonnay,350.22,2014.5,349.59,1
Chardonnay,349.59,2014.4,348.96,1
Chardonnay,348.96,2014.3,348.33,1
Chardonnay,348.33,2014.2,347.7,1
Chardonnay,347.7,2014.1,347.06,1
Chardonnay,347.06,2014,345.06,1
Chardonnay,345.06,2013.9,343.06,1
Chardonnay,343.06,2013.8,341.06,1
Chardonnay,341.06,2013.7,339.06,1
Chardonnay,339.06,2013.6,337.06,1
Chardonnay,337.06,2013.5,335.06,1
Chardonnay,335.06,2013.4,333.06,1
Chardonnay,333.06,2013.3,331.06,1
Chardonnay,331.06,2013.2,329.06,1
Chardonnay,329.06,2013.1,327,1
Chardonnay,327,2013,324.66,1
Chardonnay,324.66,2012.9,322.32,1
Chardonnay,322.32,2012.8,319.98,1
Chardonnay,319.98,2012.7,317.64,1
Chardonnay,317.64,2012.6,315.3,1
Chardonnay,315.3,2012.5,312.96,1
Chardonnay,312.96,2012.4,310.62,1
Chardonnay,310.62,2012.3,308.28,1
Chardonnay,308.28,2012.2,305.94,1
Chardonnay,305.94,2012.1,303.51,1
Chardonnay,303.51,2012,301.59,1
Chardonnay,301.59,2011.9,299.67,1
Chardonnay,299.67,2011.8,297.75,1
Chardonnay,297.75,2011.7,295.83,1
Chardonnay,295.83,2011.6,293.91,1
Chardonnay,293.91,2011.5,291.99,1
Chardonnay,291.99,2011.4,290.07,1
Chardonnay,290.07,2011.3,288.15,1
Chardonnay,288.15,2011.2,286.23,1
Chardonnay,286.23,2011.1,284.83,1
Chardonnay,284.83,2011,281.28,1
Chardonnay,281.28,2010.9,277.73,1
Chardonnay,277.73,2010.8,274.18,1
Chardonnay,274.18,2010.7,270.63,1
Chardonnay,270.63,2010.6,267.08,1
Chardonnay,267.08,2010.5,263.53,1
Chardonnay,263.53,2010.4,259.98,1
Chardonnay,259.98,2010.3,256.43,1
Chardonnay,256.43,2010.2,252.88,1
Chardonnay,252.88,2010.1,249.3,1
Chardonnay,249.3,2010,244.54,1
Chardonnay,244.54,2009.9,239.78,2
Chardonnay,239.78,2009.8,235.02,2
Chardonnay,235.02,2009.7,230.26,2
Chardonnay,230.26,2009.6,225.5,2
Chardonnay,225.5,2009.5,220.74,2
Chardonnay,220.74,2009.4,215.98,2
Chardonnay,215.98,2009.3,211.22,2
Chardonnay,211.22,2009.2,206.46,2
Chardonnay,206.46,2009.1,201.69,2
Chardonnay,201.69,2009,198.05,2
Chardonnay,198.05,2008.9,194.41,2
Chardonnay,194.41,2008.8,190.77,2
Chardonnay,190.77,2008.7,187.13,2
Chardonnay,187.13,2008.6,183.49,2
Chardonnay,183.49,2008.5,179.85,2
Chardonnay,179.85,2008.4,176.21,2
Chardonnay,176.21,2008.3,172.57,2
Chardonnay,172.57,2008.2,168.93,2
Chardonnay,168.93,2008.1,165.3,2
Chardonnay,165.3,2008,160.73,2
Chardonnay,160.73,2007.9,156.16,2
Chardonnay,156.16,2007.8,151.59,2
Chardonnay,151.59,2007.7,147.02,2
Chardonnay,147.02,2007.6,142.45,2
Chardonnay,142.45,2007.5,137.88,2
Chardonnay,137.88,2007.4,133.31,2
Chardonnay,133.31,2007.3,128.74,2
Chardonnay,128.74,2007.2,124.17,2
Chardonnay,124.17,2007.1,119.63,2
Chardonnay,119.63,2007,117.26,2
Chardonnay,117.26,2006.9,114.89,
Chardonnay,114.89,2006.8,112.52,
Chardonnay,112.52,2006.7,110.15,
Chardonnay,110.15,2006.6,107.78,
Chardonnay,107.78,2006.5,105.41,
Chardonnay,105.41,2006.4,103.04,
Chardonnay,103.04,2006.3,100.67,
Chardonnay,100.67,2006.2,98.3,
Chardonnay,98.3,2006.1,95.91,
Chardonnay,95.91,2006,91.26,3
Chardonnay,91.26,2005.9,86.61,
Chardonnay,86.61,2005.8,81.96,
Chardonnay,81.96,2005.7,77.31,
Chardonnay,77.31,2005.6,72.66,
Chardonnay,72.66,2005.5,68.01,
Chardonnay,68.01,2005.4,63.36,
Chardonnay,63.36,2005.3,58.71,
Chardonnay,58.71,2005.2,54.06,
Chardonnay,54.06,2005.1,49.36,
Chardonnay,49.36,2005,47.98,6
Chardonnay,47.98,2004.9,46.6,
Chardonnay,46.6,2004.8,45.22,
Chardonnay,45.22,2004.7,43.84,
Chardonnay,43.84,2004.6,42.46,
Chardonnay,42.46,2004.5,41.08,
Chardonnay,41.08,2004.4,39.7,
Chardonnay,39.7,2004.3,38.32,
Chardonnay,38.32,2004.2,36.94,
Chardonnay,36.94,2004.1,35.6,
Chardonnay,35.6,2004,35.56,8
Chardonnay,35.56,2003.9,35.52,
Chardonnay,35.52,2003.8,35.48,
Chardonnay,35.48,2003.7,35.44,
Chardonnay,35.44,2003.6,35.4,
Chardonnay,35.4,2003.5,35.36,
Chardonnay,35.36,2003.4,35.32,
Chardonnay,35.32,2003.3,35.28,
Chardonnay,35.28,2003.2,35.24,
Chardonnay,35.24,2003.1,35.2,
Chardonnay,35.2,2003,35.18,8
Chardonnay,35.18,2002.9,35.16,
Chardonnay,35.16,2002.8,35.14,
Chardonnay,35.14,2002.7,35.12,
Chardonnay,35.12,2002.6,35.1,
Chardonnay,35.1,2002.5,35.08,
Chardonnay,35.08,2002.4,35.06,
Chardonnay,35.06,2002.3,35.04,
Chardonnay,35.04,2002.2,35.02,
Chardonnay,35.02,2002.1,34.95,
Chardonnay,34.95,2002,34.92,8
Chardonnay,34.92,2001.9,34.89,
Chardonnay,34.89,2001.8,34.86,
Chardonnay,34.86,2001.7,34.83,
Chardonnay,34.83,2001.6,34.8,
Chardonnay,34.8,2001.5,34.77,
Chardonnay,34.77,2001.4,34.74,
Chardonnay,34.74,2001.3,34.71,
Chardonnay,34.71,2001.2,34.68,
Chardonnay,34.68,2001.1,34.7,
